epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.869,0.55972,0.98954,0.87549,0.97007,0.95811,0.98918,0.92981,0.36631,0.51885,0.82114,0.000332577,0.000332577,0.0670748
2,1095.23,0.44439,0.47403,0.8456,0.92024,0.96936,0.93634,0.88073,0.36651,0.38573,0.82488,0.000659318,0.000659318,0.0340682
3,1621.88,0.42243,0.40151,0.84383,0.96592,0.95633,0.99121,0.95234,0.30926,0.32659,0.81605,0.000979459,0.000979459,0.00105504
4,2143.27,0.39756,0.34868,0.8394,0.99464,0.98626,0.99271,0.966,0.27208,0.24072,0.80677,0.0009703,0.0009703,0.0009703
5,2662.79,0.37624,0.31636,0.83346,0.98885,0.98492,0.99235,0.96397,0.26547,0.22884,0.80618,0.0009604,0.0009604,0.0009604
6,3171.08,0.36493,0.30302,0.82944,0.98367,0.98716,0.99236,0.97056,0.25652,0.21144,0.80475,0.0009505,0.0009505,0.0009505
7,3665.68,0.35311,0.28498,0.82689,0.99274,0.98774,0.99307,0.97464,0.2373,0.18893,0.80032,0.0009406,0.0009406,0.0009406
8,4167.48,0.34654,0.27901,0.82733,0.99348,0.98939,0.99281,0.97563,0.23183,0.18125,0.79801,0.0009307,0.0009307,0.0009307
9,4665.36,0.33711,0.26954,0.82421,0.99499,0.98972,0.99297,0.97552,0.23177,0.18148,0.79856,0.0009208,0.0009208,0.0009208
10,5159.73,0.33482,0.26584,0.82386,0.99557,0.99244,0.99314,0.97828,0.22353,0.16402,0.79716,0.0009109,0.0009109,0.0009109
11,5657.15,0.32904,0.26235,0.8237,0.99687,0.99312,0.99311,0.9791,0.21936,0.16458,0.79534,0.000901,0.000901,0.000901
12,6155.26,0.32463,0.25255,0.82248,0.99356,0.99034,0.99289,0.98122,0.20778,0.15755,0.79487,0.0008911,0.0008911,0.0008911
13,6649.35,0.32172,0.25265,0.82164,0.99657,0.99302,0.99337,0.98042,0.212,0.15416,0.79509,0.0008812,0.0008812,0.0008812
14,7143.87,0.3158,0.24854,0.81913,0.99495,0.99323,0.99331,0.98208,0.20458,0.14727,0.79368,0.0008713,0.0008713,0.0008713
15,7636.04,0.31604,0.24546,0.81934,0.99657,0.99517,0.99327,0.98079,0.20647,0.14716,0.79413,0.0008614,0.0008614,0.0008614
16,8132.95,0.31246,0.24046,0.81997,0.99628,0.99407,0.99348,0.98178,0.20449,0.14601,0.79269,0.0008515,0.0008515,0.0008515
17,8627.41,0.31322,0.2412,0.81951,0.99556,0.99303,0.99328,0.98167,0.19776,0.14284,0.79207,0.0008416,0.0008416,0.0008416
18,9119.47,0.30873,0.23674,0.81676,0.99414,0.99465,0.99326,0.98278,0.19838,0.1418,0.79195,0.0008317,0.0008317,0.0008317
19,9614.22,0.30574,0.23512,0.81766,0.99608,0.99373,0.99318,0.98333,0.19417,0.13976,0.7911,0.0008218,0.0008218,0.0008218
20,10119.7,0.30492,0.23228,0.81784,0.99526,0.9933,0.99333,0.9825,0.19676,0.13662,0.7923,0.0008119,0.0008119,0.0008119
21,10620.4,0.30323,0.23154,0.81957,0.99686,0.99461,0.99314,0.98276,0.19045,0.1342,0.79045,0.000802,0.000802,0.000802
22,11118.9,0.30218,0.22943,0.81619,0.99702,0.99425,0.99354,0.98371,0.19231,0.13421,0.79083,0.0007921,0.0007921,0.0007921
23,11621.5,0.29418,0.22323,0.81496,0.99677,0.9952,0.99319,0.98337,0.18935,0.13107,0.79072,0.0007822,0.0007822,0.0007822
24,12122.1,0.29876,0.22564,0.81718,0.99696,0.99489,0.99341,0.98338,0.18789,0.12982,0.78996,0.0007723,0.0007723,0.0007723
25,12636.9,0.29544,0.2233,0.8151,0.99688,0.99441,0.9934,0.98397,0.1871,0.12875,0.79026,0.0007624,0.0007624,0.0007624
26,13123,0.29234,0.22081,0.81477,0.99396,0.99565,0.99356,0.98403,0.1868,0.12832,0.78974,0.0007525,0.0007525,0.0007525
27,13610.6,0.29032,0.21924,0.81248,0.99462,0.99497,0.99356,0.98435,0.18515,0.12707,0.78881,0.0007426,0.0007426,0.0007426
28,14095.4,0.29065,0.21841,0.8149,0.99697,0.99543,0.99346,0.98373,0.18322,0.12482,0.78876,0.0007327,0.0007327,0.0007327
29,14584.8,0.28856,0.21813,0.81337,0.9971,0.99527,0.99352,0.98425,0.18102,0.12457,0.78834,0.0007228,0.0007228,0.0007228
30,15071.3,0.28891,0.21951,0.8135,0.99715,0.99534,0.99326,0.98336,0.18114,0.12411,0.78783,0.0007129,0.0007129,0.0007129
31,15556.6,0.28496,0.21341,0.81103,0.99702,0.99545,0.99321,0.9835,0.18174,0.12366,0.78838,0.000703,0.000703,0.000703
32,16042.9,0.28544,0.21412,0.81316,0.9971,0.99577,0.99336,0.98389,0.18112,0.12215,0.78833,0.0006931,0.0006931,0.0006931
